CD,ST,District,State,Incumbent,Party,Clinton,Trump,Obama12,Romney,Obama08,McCain,GEOID,bvap,cvap,bvap_pct,black_pop,total_pop,black_pct,is_in_cbc
AL-01,AL,01,Alabama,"Byrne, Bradley",(R),34.1,63.5,37.4,61.8,38.5,60.9,50000US0101,139660,526450,0.265286352,193805,699595,0.277024564,FALSE
AL-02,AL,02,Alabama,"Roby, Martha",(R),33.0,64.9,36.4,62.9,35.0,64.5,50000US0102,153890,514995,0.298818435,209880,683015,0.307284613,FALSE
AL-03,AL,03,Alabama,"Rogers, Mike",(R),32.3,65.3,36.8,62.3,36.6,62.6,50000US0103,133730,532720,0.251032437,177130,700550,0.252844194,FALSE
AL-04,AL,04,Alabama,"Aderholt, Rob",(R),17.4,80.4,24.0,74.8,25.5,73.3,50000US0104,35350,510100,0.069300137,47040,683605,0.068811668,FALSE
AL-05,AL,05,Alabama,"Brooks, Mo",(R),31.3,64.7,34.9,63.9,36.3,62.6,50000US0105,90580,530085,0.170878255,121015,704795,0.17170241,FALSE
AL-06,AL,06,Alabama,"Palmer, Gary",(R),26.1,70.8,24.7,74.3,25.0,74.1,50000US0106,73710,511790,0.144023916,102025,694370,0.146931751,FALSE
AL-07,AL,07,Alabama,"Sewell, Terri",(D),69.8,28.6,72.4,27.1,71.5,28.1,50000US0107,318590,513355,0.620603676,427850,675230,0.633635946,TRUE
AK-AL,AK,AL,Alaska,"Young, Don",(R),37.6,52.8,41.2,55.3,38.1,59.7,50000US0200,16520,527810,0.031299142,23235,736855,0.031532662,FALSE
AZ-01,AZ,01,Arizona,"O'Halleran, Tom",(D),46.6,47.7,47.9,50.4,47.8,51.0,50000US0401,11750,530215,0.022160822,15955,735985,0.021678431,FALSE
AZ-02,AZ,02,Arizona,"McSally, Martha",(R),49.6,44.7,48.4,49.9,48.9,49.8,50000US0402,19495,535575,0.036400131,27730,720795,0.03847141,FALSE
